1,0
2,0
3,1
4,1
5,1
6,1
7,4
8,7
9,13
10,23
11,22
12,35
13,56
14,76
15,99
16,149
17,203
18,290
19,393
20,509
21,694
22,918
23,1175
24,1548
25,1985
26,2646
27,3234
28,3875
29,4940
30,5980
31,7143
32,8729
33,10310
34,12201
35,14086
36,16096
37,18156
38,20514
39,22953
40,25512
41,27749
42,30158
43,32236
44,34491
45,36082
46,37538
47,38711
48,39506
49,39921
50,39610
51,39357
52,38450
53,37562
54,36024
55,34205
56,32238
57,30118
58,27683
59,25306
60,23013
61,20390
62,18282
63,15977
64,14002
65,11905
66,10032
67,8740
68,7366
69,6019
70,4948
71,4000
72,3146
73,2565
74,2008
75,1479
76,1185
77,923
78,644
79,517
80,360
81,284
82,213
83,152
84,96
85,80
86,43
87,32
88,26
89,18
90,10
91,8
92,6
93,1
94,3
95,2
96,1
97,0
98,1
